Attendance,Hours_Studied,Support_Multiplier,Overcoming_Odds,Disadvantage_Score,Tutoring_Sessions,Motivation_Sustainability,Access_to_Resources,Parental_Education_Level,Previous_Scores,Inefficiency_Flag,Teacher_Quality,Motivation_Level,Effort_Payoff,Family_Income,Sleep_Hours,Physical_Activity,Peer_Influence,Support_Index,Resilience_Score,Exam_Score
84,23,5.75,43,6,0,0.6132,High,High School,73,False,Medium,Low,3.0416666666666665,Low,7,3,Positive,5.0,0,67
64,19,2.8499999999999996,34,5,2,0.3776,Medium,College,59,False,Medium,Low,2.95,Medium,8,4,Negative,3.0,0,61
98,24,6.0,76,3,2,1.7836,Medium,Postgraduate,91,False,Medium,Medium,3.64,Medium,7,4,Neutral,5.0,0,74
89,29,5.8,73,5,1,1.7444,Medium,High School,98,False,Medium,Medium,3.2666666666666666,Medium,8,4,Negative,4.0,0,71
92,19,5.699999999999999,50,3,3,1.1960000000000002,Medium,College,65,False,High,Medium,3.25,Medium,6,4,Neutral,6.0,0,70
88,19,5.699999999999999,74,3,3,1.5664,Medium,Postgraduate,89,False,Medium,Medium,4.45,Medium,8,3,Positive,6.0,0,71
84,29,7.25,33,7,1,0.5712,Low,High School,68,False,Medium,Low,2.2666666666666666,Low,7,2,Neutral,5.0,0,67
78,25,6.25,35,3,1,0.78,High,High School,50,True,High,Medium,1.9230769230769231,High,6,2,Negative,5.0,0,66
94,17,2.55,70,2,0,2.256,High,College,80,False,Low,High,4.444444444444445,Medium,6,1,Neutral,3.0,0,69
98,23,8.049999999999999,61,2,0,1.3916,Medium,High School,71,False,High,Medium,2.9583333333333335,High,8,5,Positive,7.0,0,72
80,17,4.25,68,4,4,1.4080000000000001,High,College,88,False,High,Medium,4.888888888888889,Medium,8,4,Neutral,5.0,0,68
97,17,5.1,67,4,2,0.8439,High,High School,87,False,High,Low,4.833333333333333,Low,6,2,Neutral,6.0,0,71
83,21,6.300000000000001,82,3,2,0.8050999999999999,Medium,High School,97,False,Medium,Low,4.409090909090909,Medium,8,4,Positive,6.0,0,70
82,9,2.7,57,3,2,1.1807999999999998,Medium,Postgraduate,72,False,Medium,Medium,7.2,Medium,8,3,Positive,6.0,0,66
78,10,2.5,54,4,1,1.1544,High,Postgraduate,74,False,Medium,Medium,6.7272727272727275,Low,8,4,Neutral,5.0,0,65
